url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://107sidehustles.gumroad.com/l/ruevr,ruevr,Beginners Guide to Becoming a Independent Work From Home Trucking Dispatcher ,107 Side Hustles,https://107sidehustles.gumroad.com,32.00,False,False,,72,4.6,,,,3d/3d-assets/3ds-max
https://22722studios.gumroad.com/l/yFocf,yFocf,Rig-GNS (Pro) 4.4.1,Shamsu Ddin,https://22722studios.gumroad.com,80.00,False,True,1159,68,4.5,17.04,4,13,3d/3d-assets/blender
https://3dartmodeling.gumroad.com/l/qdzxl,qdzxl,New Blender MatCaps - Reflective surface ,Pavel Serak,https://3dartmodeling.gumroad.com,3.00,False,True,10,0,0.0,,,,3d/3d-assets/accessories/wings
https://3dartmodeling.gumroad.com/l/yewdv,yewdv,New Blender MatCaps - Matte surface,Pavel Serak,https://3dartmodeling.gumroad.com,3.00,False,True,2,0,0.0,,,,3d/3d-assets/accessories/wings
https://3dfluff.gumroad.com/l/3dfluff-everything-2018-06-06,ahrUM,3D Fluff - Cinema 4D - Everything Bundle (June 2018),3D Fluff,https://3dfluff.gumroad.com,599.00,False,False,,3,5.0,,,,3d/3d-assets/cinema-4d
https://3drnb.gumroad.com/l/tuqpoj,tuqpoj,[NEW CORONA] High Quality Rug Collection | Corona for Cinema 4D  ,3D Render and Beyond,https://3drnb.gumroad.com,79.90,False,True,50,6,5.0,8.33,10,50,3d/3d-assets/cinema-4d
https://3drnb.gumroad.com/l/yyWZxa,yyWZxa,Modern Pool Villa V-ray 5 Cinema 4D,3D Render and Beyond,https://3drnb.gumroad.com,139.00,False,False,,5,5.0,,10,51,3d/3d-assets/cinema-4d
https://3rr0r418.gumroad.com/l/BigFinTail,tnniz,[VRC Asset] 🐟 Big Fin Tail 🐟 [Read Desc.],3Rr0r_418 has moved,https://3rr0r418.gumroad.com,999.00,False,True,7,0,0.0,,4,18,3d/3d-assets/avatar-components/tails
https://abyssalfenge.gumroad.com/l/ehsqk,ehsqk,Skulldog and Puro Masks for Taidums,AbyssalFenge,https://abyssalfenge.gumroad.com,10.00,False,False,,1,5.0,,11,59,3d/3d-assets/accessories/masks
https://abyssalfenge.gumroad.com/l/velglj,velglj,2024 Taidum Glasses,AbyssalFenge,https://abyssalfenge.gumroad.com,0.00,True,True,23,2,5.0,11.50,11,58,3d/3d-assets/accessories/masks
