seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
videolancer,https://videolancer.gumroad.com,21,40,5,Films > Video Production & Editing > Video Assets & Loops > Premiere Pro,15477,21,1,7.5508,18.03,4.01,160.29,5,0,https://videolancer.gumroad.com/l/aepack,10800,Free Motion Bro Presets for After Effects videolancer Top creator 4.8
jingsketch,https://jingsketch.gumroad.com,5,17,6,Drawing & Painting > Digital Illustration,15357,5,2,7.4923,17.52,15.02,88.13,1,0,https://jingsketch.gumroad.com/l/JingsketchBrushes,9600,Jingsketch Procreate Brushes: Basic 10 Jingsketch Top creator 4.8 (9.6
pablostanley,https://pablostanley.gumroad.com,2,2,2,Drawing & Painting > Digital Illustration > Illustration Kits,9286,2,3,4.5304,0.0,0.0,0.0,2,0,https://pablostanley.gumroad.com/l/openpeeps,9000,Open Peeps Pablo Stanley 4.9 (9K) £0.00+
machin3,https://machin3.gumroad.com,3,4,2,3D > 3D Modeling,4843,3,4,2.3628,45.05,2.01,55.07,0,0,https://machin3.gumroad.com/l/MACHIN3tools,4000,[Addon]MACHIN3tools machin3 Top creator 4.9 (4K) £1.49+
tamberella,https://tamberella.gumroad.com,1,1,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,4100,1,5,2.0003,0.0,0.0,0.0,1,0,https://tamberella.gumroad.com/l/UrGvW,4100,Foliage & Grass Brushset (Photoshop/Procreate) So happy to release thi
foxipaws,https://foxipaws.gumroad.com,13,27,11,3D > VRChat,3908,13,6,1.9066,35.05,35.05,35.07,0,0,https://foxipaws.gumroad.com/l/Dantee,549,Dante Canine/Wolf (PC+QUEST) Facetracking + Good Rank Furry FoxiPaws 5
orb,https://orb.gumroad.com,1,1,1,3D > 3D Assets > ZBrush,3900,1,7,1.9027,0.0,0.0,0.0,1,0,https://orb.gumroad.com/l/nOkHw,3900,"Orb-brushes Pack for Zbrush My name is michael vicente, You may know m"
dstory,https://dstory.gumroad.com,7,7,1,Design > Print & Packaging > Powerpoint,3411,7,8,1.6641,0.0,0.0,0.0,7,0,https://dstory.gumroad.com/l/genshinimpact,1700,Genshin Impact Presentation Template D Story Presentation Templates 5.
rezilloryker,https://rezilloryker.gumroad.com,5,10,4,3D > Avatars > Species,2491,5,9,1.2153,40.05,25.04,45.06,0,0,https://rezilloryker.gumroad.com/l/MYutV,2000,Rexouium Avatar Rexouium is a made up species and the name meaning Rex
maxulichney,https://maxulichney.gumroad.com,6,12,4,Drawing & Painting,2375,6,10,1.1587,17.52,7.02,25.04,0,0,https://maxulichney.gumroad.com/l/watercolormaxpack,824,The Watercolor MaxPack - Brushes for Procreate MaxPacks - Brushes for
rajputrajesh-448,https://rajputrajesh-448.gumroad.com,13,14,2,Design > Fonts,2373,13,11,1.1577,0.0,0.0,0.0,13,0,https://rajputrajesh-448.gumroad.com/l/thundertypeface9,1100,THUNDER Rajesh Rajput 4.9 (1.1K) $0+
gaellevel,https://gaellevel.gumroad.com,6,6,3,Gaming > Streaming,2097,6,12,1.0231,3.0,1.0,10.02,2,0,https://gaellevel.gumroad.com/l/xcass,1300,TikTok Live overlays for Streaming (Live Studio or OBS studio) Gael LE
rafacasari,https://rafacasari.gumroad.com,2,2,1,3D > VRChat > Tools,2062,2,13,1.006,10.02,10.02,10.02,0,0,https://rafacasari.gumroad.com/l/av3creator,1700,Av3Creator - Easy VRChat 3.0 Creation [1.5] Check my other script by c
liindy,https://liindy.gumroad.com,17,26,6,3D > VRChat > Avatar Systems,1883,17,14,0.9187,15.02,3.0,38.06,0,0,https://liindy.gumroad.com/l/SaberKatana,338,Saber/Blade Katana (VRCHAT) Liindy 5.0 (338) £14.87
samhyde,https://samhyde.gumroad.com,3,4,4,Films > Comedy > Sketch,1763,3,15,0.8601,16.03,12.03,22.05,0,0,https://samhyde.gumroad.com/l/kickstartertv,1000,Kickstarter TV Zero accountability. Zero quality. Zero dignity. Zero s
tatyworks,https://tatyworks.gumroad.com,2,2,1,Design > Graphics > Textures & Patterns (2D),1665,2,16,0.8123,0.0,0.0,0.0,2,0,https://tatyworks.gumroad.com/l/TatyWorksFabrics,1100,Fabric Texture Brushes for Procreate by TatyWorks Tatyworks 4.9 (1.1K)
untitledui,https://untitledui.gumroad.com,1,1,1,Design > UI & Web > Figma,1500,1,17,0.7318,129.18,129.18,129.18,0,0,https://untitledui.gumroad.com/l/untitled-ui,1500,Untitled UI Figma – Figma UI kit and design system Untitled UI Top cre
juliawinterpaw,https://juliawinterpaw.gumroad.com,2,4,2,3D > VRChat,1418,2,18,0.6918,0.0,0.0,0.0,2,0,https://juliawinterpaw.gumroad.com/l/canine,1300,Winterpaw's VRChat and VTuber Masc Canine Julia Winterpaw Top creator
keepmaking,https://keepmaking.gumroad.com,2,2,1,3D > 3D Assets > Blender,1415,2,19,0.6903,8.01,8.01,8.01,1,0,https://keepmaking.gumroad.com/l/CADsketcher,1300,CAD Sketcher [ Blender Addon ] Keep Making 4.8 (1.3K) £0.00+
prochitecture,https://prochitecture.gumroad.com,1,1,1,3D > 3D Assets > Blender,1400,1,20,0.683,0.0,0.0,0.0,1,0,https://prochitecture.gumroad.com/l/blender-osm,1400,"Blosm for Blender: Google 3D cities, OpenStreetMap, terrain Prochitect"
curic,https://curic.gumroad.com,15,15,2,3D > 3D Assets > SketchUp,1333,15,21,0.6503,15.02,4.9,99.14,3,0,https://curic.gumroad.com/l/face_knife,567,Curic Face Knife Curic - SketchUp Extensions Top creator 4.9 (567) £0.
kittomatic,https://kittomatic.gumroad.com,1,8,8,3D > VRChat > Worlds > Udon 2,1300,1,22,0.6342,35.05,35.05,35.05,0,0,https://kittomatic.gumroad.com/l/Novabeast,1300,Novabeast [VRChat Avatar] The Novabeasts are dragon-like beings. Their
pointlesscreations,https://pointlesscreations.gumroad.com,10,12,2,3D > VRChat > Avatar Systems,1297,10,23,0.6328,3.0,2.01,8.01,1,0,https://pointlesscreations.gumroad.com/l/Ghost,677,Ghost Follower [VRChat] Pointless Creations 5.0 (677) £0.00+
bartoszstyperek,https://bartoszstyperek.gumroad.com,2,4,3,3D > 3D Assets > Blender,1213,2,24,0.5918,46.06,40.05,52.08,0,0,https://bartoszstyperek.gumroad.com/l/hairtool,989,Hair Tool for Blender bartoszstyperek Top creator 4.9 (989) £38.67+
kyletwebster,https://kyletwebster.gumroad.com,2,2,2,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,1209,2,25,0.5898,1.0,1.0,1.0,1,0,https://kyletwebster.gumroad.com/l/ZHvXw,662,Kyle's Very Nice Paper Layer Kyle T Webster Top creator 5.0 (662) £0.7
bluesssatan,https://bluesssatan.gumroad.com,2,5,4,Drawing & Painting > Digital Illustration > Illustration Brushes,1124,2,26,0.5484,12.7,7.78,17.61,0,0,https://bluesssatan.gumroad.com/l/OJpdF,1100,Bluesssatan brush set for Procreate app Bluesssatan Top creator 4.8 (1
ghostly,https://ghostly.gumroad.com,8,12,5,Gaming,1112,8,27,0.5425,40.05,8.01,40.08,0,0,https://ghostly.gumroad.com/l/mamagen,642,"Ghostly [ Mama-Gen ] Introducing Ghostly's MamaGen, a motherly beast o"
