node,slug,url,seller,cur,price,price_usd,nrat,n,stars,recurring,t
3D,3d,https://foxipaws.gumroad.com/l/Nyx,foxipaws,£,26.03,35.05,259,259,5.0,False,Nyx the Snow Leopard Kitty Cat - Furry Vrchat Avatar (PC + QUEST + FAC
3D,3d,https://kittomatic.gumroad.com/l/Novabeast,kittomatic,£,26.03,35.05,1.3K,1300,4.9,False,Novabeast [VRChat Avatar] The Novabeasts are dragon-like beings. Their
3D,3d,https://holoexe.gumroad.com/l/arix,holoexe,£,3.72,5.01,156,156,5.0,False,Ari [FT | PC] IntroductionHoloExe 3rd Generation avatar is now here! M
3D,3d,https://mimiiu.gumroad.com/l/ARYIA,mimiiu,£,26.03,35.05,68,68,5.0,False,Aryia (PC/VRCFT) TO USE CERTAIN FEATURES---&gt; IMPORT VRCFURY! ♡VRCFU
3D,3d,https://erasers45.gumroad.com/l/blockblender2,erasers45,£,0.0,0.0,37,37,4.9,False,VoxelVision IV (formerly BlockBlender) Official TrailerVoxelVision 4.1
3D,3d,https://rezilloryker.gumroad.com/l/MYutV,rezilloryker,£,33.46,45.06,2K,2000,4.8,False,Rexouium Avatar Rexouium is a made up species and the name meaning Rex
3D,3d,https://juliawinterpaw.gumroad.com/l/Feline,juliawinterpaw,£,0.0,0.0,118,118,4.9,False,Winterpaw Feline ~ VRChat + VTuber Introducing the Winterpaw Feline!Th
3D,3d,https://glukoz.gumroad.com/l/uvpackmaster,glukoz,£,32.72,44.06,334,334,5.0,False,UVPackmaster PRO for Blender (latest) UVPackmaster 4 FAQFor answers to
3D,3d,https://bartoszstyperek.gumroad.com/l/hairtool,bartoszstyperek,£,38.67,52.08,989,989,4.9,False,Hair Tool for Blender bartoszstyperek Top creator 4.9 (989) £38.67+
3D,3d,https://crashsune.gumroad.com/l/LowPolyCourse,crashsune,£,44.61,60.08,298,298,4.9,False,Create Animated Low Poly Characters – Even If You've Never Opened Blen
3D,3d,https://rart.gumroad.com/l/HoudiniAIAssistant,rart,£,0.0,0.0,47,47,4.8,False,Houdini AI Assistant Radu Cius 4.8 (47) £0.00
3D,3d,https://grafitcubeschool.gumroad.com/l/blender25d,grafitcubeschool,£,208.21,280.4,31,31,4.6,False,Insane 2.5D Blender – Early Access – 7 Chapters with 40% OFF – Code EA
3D,3d,https://kittyz.gumroad.com/l/Jira,kittyz,£,11.15,15.02,42,42,5.0,False,JIRA - The KAIJU (VRCHAT/ PC/ Optimized/ QUEST/ FT) Ｋｉｔｔｙｚ 5.0 (42) £1
3D,3d,https://foxipaws.gumroad.com/l/Elliot,foxipaws,£,26.03,35.05,144,144,5.0,False,Elliot Deer/Goat/Ram Furry Vrchat 3.0 (PC + QUEST FACETRACKING) FoxiPa
3D,3d,https://foxipaws.gumroad.com/l/Roxy,foxipaws,£,26.03,35.05,173,173,5.0,False,Roxy Puppy Dog Pom - Furry Vrchat Avatar (PC + QUEST + FACETRACKING) F
3D,3d,https://dextrovr.gumroad.com/l/DexCloneUltimate,dextrovr,£,22.31,30.05,25,25,4.8,False,DexClone Ultimate for VRChat Dextro 4.8 (25) £22.31
3D,3d,https://hanmen.gumroad.com/l/gfxdev,hanmen,£,4.46,6.01,58,58,4.5,True,Graphics Plugin Full v2.8.0 Hanmen Top creator 4.5 (58) £4.46+ a month
3D,3d,https://juliawinterpaw.gumroad.com/l/canine,juliawinterpaw,£,0.0,0.0,1.3K,1300,5.0,False,Winterpaw's VRChat and VTuber Masc Canine Julia Winterpaw Top creator
3D,3d,https://markcreator.gumroad.com/l/Polytool,markcreator,£,0.0,0.0,451,451,4.7,False,Polytool Markcreator 4.7 (451) £0.00
3D,3d,https://aysuhoscan.gumroad.com/l/abntools,aysuhoscan,£,8.92,12.01,19,19,4.8,False,ABN Painterly Normals - Easy Painterly Normals Aysu Hoşcan (progjent)
3D,3d,https://machin3.gumroad.com/l/MACHIN3tools,machin3,£,1.49,2.01,4K,4000,4.9,False,[Addon]MACHIN3tools machin3 Top creator 4.9 (4K) £1.49+
3D,3d,https://riggingpro.gumroad.com/l/rimqs_bundle,riggingpro,$,540.0,540.0,,0,,False,Rigging in Maya | Quick Start | Bundle RiggingPRO Top creator $540
3D,3d,https://dani17dev.gumroad.com/l/pink,dani17dev,£,12.85,17.31,17,17,5.0,False,[VRC + Rig] Deltarune | Pink Dani17dev 5.0 (17) £12.85+
3D,3d,https://dillongoo.gumroad.com/l/goo-physics,dillongoo,£,14.87,20.03,24,24,4.8,False,Goo Physics Dillon Goo 4.8 (24) £14.87+
3D,3d,https://lunararray.gumroad.com/l/Goobastera,lunararray,£,18.59,25.04,35,35,5.0,False,Goobastera Base-Edit (Lumistera Original Model) LunarArray 5.0 (35) £1
3D,3d,https://liindy.gumroad.com/l/UltraSaber,liindy,£,12.64,17.02,17,17,5.0,False,Ultra Photon Saber/Blade (VRCHAT + Quest) Liindy 5.0 (17) £12.64
3D,3d,https://foxipaws.gumroad.com/l/Dantee,foxipaws,£,26.03,35.05,549,549,5.0,False,Dante Canine/Wolf (PC+QUEST) Facetracking + Good Rank Furry FoxiPaws 5
3D,3d,https://heartmarksman.gumroad.com/l/Marik_by_Heartmarksman,heartmarksman,€,35.0,40.4,21,21,5.0,False,Marik | Male | PC + Quest + Opti | VRCFT & VRCFury Heartmarksman 5.0 (
